name,solution
C0000001,0
C0000002,0
C0000003,1
C0000004,0
C0000005,0
C0000006,1
C0000007,0
C0000008,0
C0000009,0
C0000010,0
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,224
C0000018,396
C0000019,0
C0000020,0
C0000021,1
C0000022,0
C0000023,0
C0000024,0
C0000025,1
C0000026,0
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,0
C0000032,0
C0000033,0
C0000034,0
C0000035,0
C0000036,0
C0000037,1
C0000038,0
C0000039,0
C0000040,1
C0000041,0
C0000042,0
C0000043,0
C0000044,0
C0000045,0
C0000046,0
C0000047,0
C0000048,0
C0000049,0
C0000050,0
C0000051,224
C0000052,396
C0000053,0
C0000054,0
C0000055,1
C0000056,0
C0000057,0
C0000058,0
C0000059,1
C0000060,0
C0000061,0
C0000062,0
C0000063,0
C0000064,0
C0000065,0
C0000066,0
C0000067,0
C0000068,0
C0000069,0
C0000070,0
C0000071,1
C0000072,0
C0000073,0
C0000074,1
C0000075,0
C0000076,0
C0000077,0
C0000078,0
C0000079,0
C0000080,0
C0000081,0
C0000082,0
C0000083,0
C0000084,0
C0000085,224
C0000086,396
C0000087,0
C0000088,0
C0000089,1
C0000090,0
C0000091,0
C0000092,0
C0000093,1
C0000094,0
C0000095,0
C0000096,0
C0000097,0
C0000098,0
C0000099,0
C0000100,0
C0000101,0
C0000102,0
C0000103,0
C0000104,0
C0000105,0
C0000106,0
C0000107,0
C0000108,0
C0000109,0
C0000110,2
C0000111,400
C0000112,3
C0000113,400
C0000114,399
C0000115,400
C0000116,399
C0000117,400
C0000118,400
C0000119,400
C0000120,400
C0000121,401
C0000122,400
C0000123,402
C0000124,3
C0000125,3
C0000126,3
C0000127,5
C0000128,4
C0000129,4
C0000130,4
C0000131,7
C0000132,6
C0000133,6
C0000134,6
C0000135,8
C0000136,8
C0000137,8
C0000138,9
C0000139,14
C0000140,15
C0000141,0
C0000142,0
C0000143,0
C0000144,2
C0000145,400
C0000146,3
C0000147,400
C0000148,399
C0000149,400
C0000150,399
C0000151,400
C0000152,400
C0000153,400
C0000154,400
C0000155,401
C0000156,400
C0000157,402
C0000158,3
C0000159,3
C0000160,3
C0000161,5
C0000162,4
C0000163,4
C0000164,4
C0000165,7
C0000166,6
C0000167,6
C0000168,6
C0000169,8
C0000170,8
C0000171,8
C0000172,9
C0000173,14
C0000174,0
C0000175,0
C0000176,0
C0000177,2
C0000178,400
C0000179,3
C0000180,400
C0000181,399
C0000182,400
C0000183,399
C0000184,400
C0000185,400
C0000186,400
C0000187,400
C0000188,401
C0000189,400
C0000190,402
C0000191,3
C0000192,3
C0000193,3
C0000194,5
C0000195,4
C0000196,4
C0000197,4
C0000198,7
C0000199,6
C0000200,6
C0000201,6
C0000202,8
C0000203,8
C0000204,8
C0000205,9
C0000206,14
C0000207,15
C0000208,0
C0000209,0
C0000210,1
C0000211,0
