
Pre-schedule statistics


Total nodes: 1220

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;17
NodeAdd;{HWOffsetFix:42, -36, TWOSCOMPLEMENT};0;1
NodeAdd;{HWOffsetFix:43, -37, TWOSCOMPLEMENT};0;1
NodeAdd;{HWOffsetFix:45, -40, TWOSCOMPLEMENT};0;1
NodeAdd;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;3
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;10
NodeCast;{HWFloat:8, 24};0;6
NodeCast;{HWOffsetFix:24, -23, UNSIGNED};0;2
NodeCast;{HWOffsetFix:25, -19, TWOSCOMPLEMENT};0;2
NodeCast;{HWOffsetFix:25, -20, TWOSCOMPLEMENT};0;1
NodeCast;{HWOffsetFix:25, -24, UNSIGNED};0;1
NodeCast;{HWOffsetFix:27, -23, TWOSCOMPLEMENT};0;1
NodeCast;{HWOffsetFix:5, 0, UNSIGNED};0;12
NodeCast;{HWOffsetFix:7, 0, UNSIGNED};0;2
NodeCast;{HWOffsetFix:8, 0, TWOSCOMPLEMENT};0;6
NodeCast;{HWOffsetFix:8, 0, UNSIGNED};0;2
NodeCast;{HWOffsetFix:80, -79, TWOSCOMPLEMENT};0;2
NodeCast;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;4
NodeCat;{HWRawBits:224};0;1
NodeCat;{HWRawBits:24};0;10
NodeCat;{HWRawBits:25};0;5
NodeCat;{HWRawBits:2};0;4
NodeCat;{HWRawBits:30};0;4
NodeCat;{HWRawBits:32};0;7
NodeCondAddSub;{HWOffsetFix:25, -23, TWOSCOMPLEMENT};0;5
NodeCondAddSub;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;3
NodeConstantRawBits;{HWFloat:11, 53};0;1
NodeConstantRawBits;{HWFloat:8, 24};0;47
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;19
NodeConstantRawBits;{HWOffsetFix:25, -23, TWOSCOMPLEMENT};0;6
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:5, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:7, 0, UNSIGNED};0;15
NodeConstantRawBits;{HWOffsetFix:8, 0, TWOSCOMPLEMENT};0;10
NodeConstantRawBits;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;128
NodeConstantRawBits;{HWRawBits:185};0;2
NodeConstantRawBits;{HWRawBits:1};0;97
NodeConstantRawBits;{HWRawBits:23};0;2
NodeConstantRawBits;{HWRawBits:24};0;4
NodeConstantRawBits;{HWRawBits:2};0;5
NodeConstantRawBits;{HWRawBits:31};0;7
NodeConstantRawBits;{HWRawBits:8};0;2
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeDiv;{HWFloat:8, 24};0;3
NodeEqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;8
NodeEvalStreamOffset;{HWOffsetFix:8, 0, UNSIGNED};0;1
NodeGt;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeGtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeGte;{HWOffsetFix:1, 0, UNSIGNED};0;3
