
Pre-schedule statistics


Total nodes: 115

Node class;Type;Length;Num
NodeAnd;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeCast;{HWFloat:8, 24};0;3
NodeCat;{HWRawBits:32};0;3
NodeCat;{HWRawBits:96};0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:10, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:11, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:32, 0, UNSIGNED};0;8
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounter;{HWOffsetFix:10, 0, UNSIGNED};0;1
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeGteInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeMappedRom;{HWOffsetFix:32, 0, UNSIGNED};624;3
NodeMux;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodePO2FPMult;{HWFloat:8, 24};0;3
NodeReinterpret;{HWOffsetFix:32, 0, UNSIGNED};0;18
NodeShift;{HWRawBits:32};0;15
NodeSlice;{HWRawBits:1};0;6
NodeSlice;{HWRawBits:31};0;3
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;9
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeXor;{HWOffsetFix:32, 0, UNSIGNED};0;18

Final statistics


Total nodes: 131

Node class;Type;Length;Num
NodeAnd;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeCast;{HWFloat:8, 24};0;3
NodeCat;{HWRawBits:32};0;3
NodeCat;{HWRawBits:96};0;1
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:10, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:11, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:32, 0, UNSIGNED};0;8
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounter;{HWOffsetFix:10, 0, UNSIGNED};0;1
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};1;1
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};1;6
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};224;3
NodeFIFO;{HWOffsetFix:32, 0, UNSIGNED};396;3
NodeFIFO;{HWRawBits:1};1;3
NodeGteInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeMappedRom;{HWOffsetFix:32, 0, UNSIGNED};624;3
NodeMux;{HWOffsetFix:32, 0, UNSIGNED};0;6
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodePO2FPMult;{HWFloat:8, 24};0;3
NodeReinterpret;{HWOffsetFix:32, 0, UNSIGNED};0;18
NodeShift;{HWRawBits:32};0;15
NodeSlice;{HWRawBits:1};0;6
NodeSlice;{HWRawBits:31};0;3
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;9
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeXor;{HWOffsetFix:32, 0, UNSIGNED};0;18
